,Shot_number,Temperature_lfa,Diffusivity,Std_dev,Cp_calc,Kappa,Temperature_lsr,Seebeck_cof,Resistivity,ZT,Power_Factor,Kappa_Interp
0,1..2..3,320.1,1.462,0.046,0.261,3.5609232240000006,323.6,177.058,7.457069999999999,0.038410869104239236,0.000420400175457653,3.5417448225112467
1,4..5..6,372.6,1.452,0.014,0.248,3.3604158720000004,333.6,177.705,7.45076,0.04052340741587758,0.00042383685724677755,3.4891433024490897
2,7..8..9,422.9,1.447,0.003,0.247,3.3353407880000003,343.6,180.191,7.45256,0.0434924085662,0.00043567306376600796,3.4419170987540366
3,10..11..12,473.5,1.431,0.001,0.249,3.325168908,353.6,181.868,7.4550399999999994,0.04610426542413689,0.00044367259496930927,3.4027790734307044
4,13..14..15,523.3,1.405,0.002,0.251,3.2909764600000004,363.6,185.498,7.45791,0.04971451651812531,0.0004613827198772846,3.3744420884837103
5,16..17..18,574.1,1.399,0.003,0.25,3.2638670000000003,373.6,187.061,7.4575,0.05217939722652385,0.00046921646290311764,3.3595495513216966
6,19..20..21,623.9,1.398,0.004,0.249,3.2484878640000003,383.6,188.477,7.45898,0.054502060490368306,0.0004762525107856571,3.3519918603749557
7,22..23..24,673.7,1.393,0.002,0.252,3.2758679520000005,393.6,189.773,7.46096,0.056778191207118495,0.0004826964831469409,3.346167458445141
8,25..26..27,723.7,1.378,0.004,0.252,3.240592992,403.6,191.588,7.46135,0.05941626705457847,0.0004919479952555502,3.3416810029946222
9,28..29..30,773.6,1.378,0.003,0.252,3.240592992,413.6,193.578,7.465269999999999,0.06219318972622279,0.0005019569564664105,3.33813715148577
10,,,,,,,423.6,195.466,7.46951,0.06496685601802549,0.0005115055359186882,3.335142845069165
11,',,,,,,433.6,197.033,7.47144,0.06760073195985282,0.0005196053650835716,3.3328172605296613
12,,,,,,,443.6,198.307,7.47504,0.07005912292959852,0.0005260930543381707,3.3311133389284335
13,,,,,,,453.6,199.7,7.47612,0.07267156969766217,0.0005334329839542436,3.3295716953452423
14,,,,,,,463.6,202.021,7.479309999999999,0.07601975401247986,0.0005456717857797043,3.327732944859849
15,,,,,,,473.6,204.013,7.48027,0.07925022114742097,0.0005564144632346159,3.325137595486568
16,,,,,,,483.6,204.359,7.4843,0.08126787079683288,0.0005580027641997248,3.3205021138255706
17,,,,,,,493.6,205.431,7.48817,0.08395116533819964,0.0005635808984171033,3.313635139405296
18,,,,,,,503.6,208.126,7.49262,0.08807397042438586,0.0005781212963689604,3.305651867953001
19,,,,,,,513.6,208.398,7.49133,0.09029138533999187,0.0005797331902879729,3.2976674951959453
20,,,,,,,523.6,209.244,7.49559,0.09293918367365755,0.0005841174815591568,3.290796209468559
21,,,,,,,533.6,210.904,7.494730000000001,0.09640957782310933,0.0005934903220796479,3.2848026411105242
22,,,,,,,543.6,212.368,7.49802,0.09971840390050987,0.0006014943601644167,3.278956756183149
23,,,,,,,553.6,212.251,7.500509999999999,0.10157834600981297,0.0006006323170157763,3.273434385984309
24,,,,,,,563.6,213.237,7.50113,0.10452801627581708,0.0006061755784661777,3.2684113618118804
25,,,,,,,573.6,216.454,7.50095,0.10976540970559875,0.0006246186698484859,3.264063514963739
26,,,,,,,583.6,215.043,7.501510000000001,0.11035795373133764,0.0006164557782233177,3.259969762097614
27,,,,,,,593.6,219.328,7.49744,0.11697927895274578,0.0006416159593674642,3.2558179268174308
28,,,,,,,603.6,217.696,7.49485,0.11735888588106475,0.0006323215063143359,3.252154775890843
29,,,,,,,613.6,218.611,7.49196,0.1204518628371585,0.0006378940800671652,3.249528884898781
30,,,,,,,623.6,219.411,7.48931,0.12339561163816289,0.0006427986946861594,3.248488829422174
31,,,,,,,633.6,219.458,7.48163,0.12545216328298311,0.0006437342365767887,3.2511995139933836
32,,,,,,,643.6,219.566,7.47525,0.12740188057829718,0.0006449179406173706,3.257951803358596
33,,,,,,,653.6,219.49,7.46309,0.1291799267548413,0.0006455216284407666,3.266087440578866
34,,,,,,,663.6,219.593,7.45856,0.13108394851146105,0.0006465200474220224,3.2729461413175445
35,,,,,,,673.6,222.578,7.44772,0.13677819416374398,0.0006651829833022723,3.275867621237981
36,,,,,,,683.6,219.566,7.4677299999999995,0.13486365229912858,0.0006455673726286301,3.272266829539089
37,,,,,,,693.6,221.552,7.4393899999999995,0.1402272706491368,0.0006598026008046359,3.2635526727404973
38,,,,,,,703.6,219.251,7.46558,0.13926644833159296,0.0006439017598230814,3.253111453900305
39,,,,,,,713.6,222.304,7.444960000000001,0.14600309503759226,0.0006637922623627258,3.244329569178513
40,,,,,,,723.6,223.462,7.450869999999999,0.14964919666197324,0.0006701937551453724,3.2405934147351205
41,,,,,,,733.6,223.448,7.4510000000000005,0.15169568045594492,0.0006700980902429204,3.240592992
42,,,,,,,743.6,226.085,7.45563,0.15731641611072408,0.0006855815970615495,3.240592992
43,,,,,,,753.6,224.508,7.47581,0.1567912376433893,0.0006742258305655174,3.240592992
44,,,,,,,763.6,226.995,7.49348,0.1620281453856139,0.0006876208387157903,3.240592992
45,,,,,,,773.6,227.017,7.5338899999999995,0.16330123084758932,0.0006840651813206723,3.240592992
